STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,Countrycode,Country,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,Date,Time period,Capacity Utilization,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1979,,76.275,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1980,,74.525,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1981,,72.6,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1982,,71.45,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1983,,70.625,,B,Time series break,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1984,,73.15,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1985,,73.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1986,,74.475,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1987,,76.55,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1988,,77.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1989,,79.675,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1990,,78.325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1991,,75.75,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1992,,74.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1993,,73.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1994,,73.9,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1995,,78.275,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1996,,76.425,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1997,,76.1,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1998,,77.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1999,,76.175,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2000,,78,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2001,,77.525,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2002,,75.725,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2003,,75.675,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2004,,76.1,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2005,,75.55,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2006,,77.1,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2007,,77.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2008,,76.075,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2009,,66.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2010,,69.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2011,,73.65,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2012,,71.725,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2013,,71.95,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2014,,73.65,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2015,,75.425,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2016,,76.175,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2017,,76.9,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2018,,77.975,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2019,,77.45,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2021,,77.025,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2022,,78.95,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2023,,77.525,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1991,,81.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1992,,78.825,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1993,,82.25,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1994,,85.725,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1995,,87.925,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1996,,83.525,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1997,,86.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1998,,86.875,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1999,,85.275,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2000,,86.125,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2001,,84.325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2002,,82.45,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2003,,81.225,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2004,,83.425,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2005,,84.825,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2006,,85.875,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2007,,86.775,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2008,,84.575,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2009,,67.375,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2010,,76.15,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2011,,79.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2012,,78.675,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2013,,78.55,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2014,,78.875,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2015,,79.175,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2016,,78.025,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2017,,82.325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2018,,83.775,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2019,,81.025,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,FIN,Finland,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,2020,,76.875,,A,Normal value,0,Units,2,Two,,
