Country,Countrycode,Currency,Continent,Subregion,Date,Population,N,LabShare,E,B,delta,XGDPnat2017,Knat2017,xnat2017,rhonat2017,knat2017,inat2017,cnat2017,rnat2017,wnat2017,XGDPnatcur,Knatcur,xnatcur,rhonatcur,knatcur,inatcur,cnatcur,rnatcur,wnatcur,XGDPppp2017,Kppp2017,xppp2017,rhoppp2017,kppp2017,ippp2017,cppp2017,rppp2017,wppp2017
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1972,59840,,,,14055.611,0.037644259,557594507,1095808407,,0.508843063,,,,,,392467331,889457500,,0.441243489,,,,,,312154968,834935852,,0.37387,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1973,60243,,,,15592.084,0.03711361,608271350,1212758010,,0.501560365,,,,,,413389041,945291947,,0.437313617,,,,,,340525116,918604614,,0.3707,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1974,60528,,,,14132.618,0.036701012,663553971,1339569606,,0.495348631,,,,,,435426048,1003776554,,0.433787825,,,,,,371473663,1009965393,,0.36781,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1975,60657,,,,10234.597,0.036384319,723860930,1477189319,,0.490025835,,,,,,458637808,1065056207,,0.430623103,,,,,,405234985,1109667969,,0.36519,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1976,60586,,,,21862.654,0.036150271,789648857,1626662573,,0.485441093,,,,,,483086944,1129169694,,0.427824929,,,,,,442064667,1218427124,,0.36282,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1977,60366,,,,11419.038,0.03591486,861415973,1788807955,,0.481558666,,,,,,508839417,1197546483,,0.4249016,,,,,,482241638,1336982666,,0.36069,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1978,60103,,,,9724.884,0.035773609,939705575,1964919802,,0.478241185,,,,,,535964707,1268453123,,0.422534107,,,,,,526070068,1466154175,,0.35881,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1979,59980,,,,10201.594,0.035651395,1025110496,2156214312,,0.475421432,,,,,,564535997,1343194145,,0.42029367,,,,,,573881836,1606880371,,0.35714,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1980,60096,,,,10498.621,0.035588281,1118277526,2364204773,,0.473003667,,,,,,594630370,1421013851,,0.418455013,,,,,,626039001,1760180542,,0.35567,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1981,60567,,,,9999.909,0.035556454,1219911857,2590488317,,0.470919652,,,,,,626329019,1502363687,,0.416895739,,,,,,682936340,1927193359,,0.35437,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1982,61345,,,,11180.683,0.035547087,1330783285,2836775820,,0.469118242,,,,,,659717464,1587665020,,0.415526862,,,,,,745004883,2109149170,,0.35323,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1983,62201,,,,5746.189,0.035563592,1451731326,3105016806,,0.46754379,,,,,,694885785,1676836968,,0.414402711,,,,,,812714539,2307428711,,0.35222,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1984,62836,,,,14348.971,0.035587063,1583671604,3397192711,,0.466170671,,,,,,731928864,1770124269,,0.413490102,,,,,,886577942,2523481689,,0.35133,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1985,63026,,,,16794.86,0.035603637,1727603246,3715409997,,0.464983204,,,,,,770946641,1869013649,,0.412488502,,,,,,967154358,2758896729,,0.35056,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1986,62644,,,,179.683,0.035606783,1884616030,4062110220,,0.463949998,,,,,,812044385,1972608086,,0.411660274,,,,,,1055053955,3015559326,,0.34987,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1987,61833,,,,447.374,0.035541674,2187632740,4472784554,,0.489098617,,,,,,976548860,2248655349,,0.434281252,,,,,,1224690063,3319945557,,0.36889,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1988,61079,,,,612.389,0.03552196,2595596735,4971172670,,0.522129668,,,,,,1194491095,2580980109,,0.462805231,,,,,,1453078247,3689811523,,0.39381,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1989,61032,,,,649.059,0.035609056,2910438492,5531646957,,0.526143211,,,,,,1392525145,2983308699,,0.466772059,,,,,,1629334351,4106038086,,0.39681,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1990,62149,,,,,0.036224992,3025732788,6097220203,,0.496247911,,,,,,1531882439,3471625665,,0.441257954,,,,,,1693878906,4525354980,,0.37431,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1991,64622,29200,0.648357034,,,0.036651847,3266668019,6700140219,111872.1898,0.487552187,229456.8514,28485.82131,83386.3685,0.13479245,72533.12114,1746681277,4062130725,59817.85054,0.4299914,139114.0626,17681.92527,42135.92527,0.114551604,38783.32414,1828760254,4972792969,62628.77,0.36775,170301.13,21728.48,40900.29,0.09267,40605.81
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1992,68235,30903,0.648357034,,,0.036308033,3458825056,7337342529,111924.2331,0.471400244,237429.3069,28691.95078,83232.28232,0.129456547,72566.86377,1919568146,4576073999,62115.36841,0.419479262,148077.3282,18545.01406,43570.35435,0.111198899,40272.93601,1936334473,5446231445,62657.91,0.35554,176234.78,21885.71,40772.2,0.08871,40624.7
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1993,72504,32912,0.648357034,,,0.035364754,3711585477,8009928912,112773.6755,0.463373086,243375.5412,28508.52483,84265.15071,0.127577132,73117.60575,2168944357,5229731595,65901.7093,0.414733398,158901.3799,19387.09021,46514.61909,0.110473328,42727.83676,2077835938,5945963379,63133.45,0.34945,180663.53,21745.8,41387.65,0.08752,40933.02
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1994,76700,34896,0.648357034,,,0.033974117,4016080166,8753779896,115087.1905,0.458782402,250853.5419,29317.20372,85769.98674,0.127353487,74617.58943,2495053851,6321552268,71499.75246,0.394690061,181154.1752,21024.4247,50475.32776,0.104815866,46357.36742,2248299561,6498934082,64428.61,0.34595,186237.33,22362.64,42065.97,0.08768,41772.75
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1995,80324,36628,0.648357034,,,0.033823362,4116753040,9506838468,112393.56,0.433030713,259551.0125,29393.32964,83000.23038,0.118448842,72871.15518,2477239523,6278322444,67632.37102,0.394570292,171407.6612,20793.02605,46839.34497,0.104924506,43849.92346,2304658691,7074194336,62920.65,0.32578,193136.16,22420.71,40499.94,0.08074,40795.05
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1996,83200,38026,0.637259483,,,0.03472126,4168010504,10167392939,109610.3678,0.409938962,267382.1666,26539.07236,83071.29539,0.113980211,69850.24632,2588317099,6947275874,68067.58016,0.372565758,182699.5068,19130.72487,48936.85529,0.100423435,43376.71096,2333353760,7574306152,61362.55,0.30806,199189.15,20243.54,41119.02,0.07703,39103.87
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1997,85451,39143,0.634907246,,,0.034683171,4493716889,10972904837,114802.4476,0.409528466,280328.3705,29914.51084,84887.93679,0.114832704,72888.90581,2873346350,7720211601,73406.3142,0.372184922,197230.7579,21942.02992,51464.28428,0.101198847,46606.20076,2515692139,8176080566,64269.21,0.30769,208876.99,22818.26,41450.95,0.07765,40804.98
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1998,87277,40070,0.638231814,,,0.034544068,4793296053,11913511873,119623.2803,0.402341149,297318.0364,33065.77901,86557.5013,0.11101016,76347.38317,3123794847,8152231299,77958.58684,0.383182804,203450.1185,24404.31001,53554.27683,0.10407928,49755.65029,2683403809,8871183594,66968.02,0.30249,221392.56,25221.99,41746.03,0.07489,42741.12
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1999,89005,40956,0.655210614,,,0.034252368,4848632932,12818587041,118387.8266,0.378250186,312988.1517,32302.27612,86085.55047,0.096164281,77568.96057,3231529616,9276856813,78903.42971,0.34834316,226510.6332,24058.78824,54844.64147,0.085852656,51698.36464,2714382813,9543474609,66276.39,0.28442,233020.57,24639.6,41636.78,0.06381,43424.99
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2000,90853,41900,0.645106137,,,0.034326219,5067503499,13415289903,120942.8,0.377740886,320173.9722,25334.43972,95608.36033,0.099731704,78020.94251,3514117257,10879923522,83869.14401,0.322990989,259664.0368,21114.2116,62754.93241,0.080301301,54104.49949,2836911865,10001375977,67706.72,0.28365,238696.32,19324.66,48382.06,0.06634,43678.02
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2001,92898,42808,0.645106137,,,0.034445805,5049022611,14005073156,117946.7164,0.360513833,327162.8033,25355.18284,92591.53354,0.093498342,76088.15055,3601926718,10615345850,84142.11259,0.339313176,247977.734,19693.55841,64448.55418,0.085974359,54280.5932,2826565674,10458633789,66029.44,0.27026,244316.89,19340.49,46688.96,0.06147,42596
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2002,94992,43736,0.645106137,,,0.034653364,4939738436,14698630199,112943.6519,0.336067944,336073.8617,28005.82629,84937.82558,0.084615088,72860.64293,3640996725,11389879847,83248.83429,0.319669459,260421.6075,22125.81025,61123.02404,0.078795366,53704.33388,2765385742,10997979492,63228.6,0.25144,251461.08,21362.35,41866.25,0.05458,40789.16
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2003,97017,44632,0.645106137,,,0.034858253,4962722257,15494869904,111192.9604,0.320281634,347172.4521,30438.79386,80754.16649,0.078807733,71731.2611,3791451763,12115910663,84949.8972,0.312931637,271464.7132,24501.40954,60448.48766,0.076199265,54801.70001,2778252686,11609083984,62248.53,0.23932,260108.94,23218.17,39030.35,0.05007,40156.91
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2004,98737,45385,0.645106137,,,0.035010985,5335892989,16349574117,117569.027,0.326362812,360240.268,32001.65059,85567.37637,0.080813175,75844.50079,4179671038,13162317975,92093.27436,0.31754825,290013.4842,26182.40742,65910.86694,0.077684941,59409.93645,2987162842,12261321289,65818,0.24362,270161.27,24410.29,41407.71,0.05145,42459.6
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2005,100031,45942,0.645106137,,,0.034935167,5398679673,17449399412,117511.2983,0.309390572,379815.3814,37712.14452,79799.15374,0.074865648,75807.25965,4372369674,14719950638,95171.94352,0.297036979,320404.3608,31552.50687,63619.43665,0.070481434,61396.00481,3022312256,13089746094,65785.68,0.23089,284920.23,28766.16,37019.53,0.04701,42438.75
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2006,100834,46272,0.645106137,,,0.034966034,5412612253,18611555991,116973.5716,0.290819975,402219.8665,39862.29306,77111.27858,0.068244191,75460.36891,4542066869,16140432040,98159.95667,0.28140925,348815.6726,34127.59736,64032.35931,0.064904382,63323.59044,3030112061,13968672852,65484.65,0.21692,301881.14,30406.25,35078.4,0.04202,42244.55
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2007,101222,46411,0.645106137,,,0.034940033,5564676158,19668886064,119898.6508,0.282917708,423793.3772,38325.92676,81572.72406,0.065465725,77347.35544,4898943551,17681682419,105554.5202,0.277063202,380976.3238,33935.90222,71618.61802,0.063387997,68093.86878,3115241211,14768881836,67122.18,0.21093,318216,29234.34,37887.85,0.03992,43300.93
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2008,101358,46435,0.645106137,,,0.034704295,5434704984,20718523060,117038.5789,0.262311409,446181.8079,39067.86998,77970.70889,0.058388414,75502.30547,5142791842,19686811555,110752.1108,0.261230308,423963.4817,36414.59335,74337.51747,0.058004738,71446.86635,3042480225,15567381836,65521.05,0.19544,335249.89,29800.28,35720.77,0.03466,42268.03
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2009,101455,46441,0.645106137,,,0.034961364,4970474502,21426936044,107028.0497,0.23197318,461381.1369,32580.24308,74447.80665,0.047364494,69044.45169,4681259240,20342804986,100800.446,0.230118671,438036.7997,30193.21803,70607.228,0.04670634,65026.98632,2782592529,16123446289,59916.91,0.17258,347182.35,24851.63,35065.27,0.02629,38652.76
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2010,101669,46500,0.645106137,,,0.035057065,4808452597,21960148092,103407.5803,0.218962667,472261.2381,29030.05188,74377.5284,0.042651442,66708.86463,4478226758,21472970557,96305.9495,0.208551805,461784.3021,27551.04195,68754.90755,0.03895669,62127.55903,2691888916,16532083984,57890.08,0.16283,355528.68,22143.61,35746.47,0.02273,37345.25
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2011,102046,45690,0.645106137,,,0.034953931,4824878012,22489503241,105600.4529,0.21453911,492220.0566,29975.76206,75624.69086,0.041184683,68123.50022,4776496126,22874185486,104541.5351,0.208816009,500639.4652,29466.40043,75075.13472,0.039153589,67440.38587,2701084229,16938039063,59117.71,0.15947,370717.06,22864.98,36252.72,0.02164,38137.19
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2012,102560,45920,0.645106137,,,0.034932433,4758784406,22887234530,103631.8976,0.207923085,498414.5831,27316.67758,76315.22004,0.038858194,66853.57312,4748239028,23754625391,103402.2513,0.199886925,517303.7264,27245.45519,76156.79607,0.036006211,66705.42684,2664083496,17245148438,58015.66,0.15448,375547.05,20836.68,37178.98,0.01989,37426.26
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2013,103159,46188,0.645106137,,,0.03492134,4958568648,23172411444,107355.5856,0.213985871,501694.7385,24942.79983,82412.78581,0.041020932,69255.74711,4836150000,22540132639,104705.1584,0.2145573,488005.5741,24846.78533,79858.37302,0.041223729,67545.94021,2775927490,17466755859,60100.27,0.15893,378164.33,19025.93,41074.34,0.02148,38771.05
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2014,103774,46464,0.645106137,,,0.034827792,4972082802,23413098357,107010.216,0.212363299,503901.647,24079.13621,82931.07981,0.04053864,69032.94705,4949820000,23715139995,106531.0713,0.20871983,510402.2509,24794.01771,81737.05359,0.039245595,68723.84786,2783492920,17654566406,59906.92,0.15766,379965.31,18367.14,41539.78,0.02113,38646.32
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2015,104341,46717,0.645106137,,,0.034809095,5256617122,23589424065,112519.2336,0.222837875,504937.6539,22729.9536,89789.28001,0.044274699,72586.84811,5225910000,24754725780,111861.9398,0.21110757,529881.2351,24118.79996,87743.13985,0.040111686,72162.82385,2942782227,17791994141,62991.01,0.1654,380842.18,17338.01,45653,0.02389,40635.88
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2016,104872,46955,0.645106137,,,0.034821529,5364921247,23809268945,114256.0555,0.225329104,507063.017,23879.56295,90376.49253,0.045146388,73707.28255,5308900000,24024258210,113062.978,0.220980808,511641.6165,24196.01823,88866.95977,0.043603204,72937.62096,3003413574,17960753906,63963.32,0.16722,382507.93,18214.91,45748.41,0.02452,41263.13
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2017,105366,47176,0.645106137,,,0.035034951,5470610000,24029972577,115960.6654,0.227657771,509363.9668,24127.93942,91832.72602,0.045759395,74806.9369,5470610000,24029972577,115960.6654,0.227657771,509363.9668,24127.93942,91832.72602,0.045759395,74806.9369,3062580566,18128179688,64917.6,0.16894,384263.51,18404.37,46513.24,0.02492,41878.74
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2018,105845,47391,0.645106137,,,0.035295033,5520311592,24238072367,116484.6408,0.227753738,511449.9617,24082.87453,92401.76623,0.045533371,75144.9566,5733608000,25967792413,120985.4294,0.220796898,547948.9554,25716.94622,95268.48313,0.043064431,78048.44294,3090404785,18284378906,65210.94,0.16902,385820.49,18369.99,46840.95,0.02469,42067.98
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,2019,106314,47601,0.645106137,,,0.03554201,5481645059,24431150565,115158.4628,0.224371138,513249.8938,23951.2104,91207.25243,0.04408593,74289.43108,5894552000,26893331134,123832.8166,0.219182665,564975.4117,26196.30231,97636.51432,0.042244573,79885.30995,3068758301,18427505859,64468.51,0.16653,387125.26,18269.56,46198.95,0.02356,41589.03
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1960,,,,,550.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1961,,,,,454.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1962,,,,,1180.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1963,,,,,1151.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1964,,,,,1224.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1965,,,,,1188.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1966,,,,,1554.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1967,,,,,993.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1968,,,,,1672.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1969,,,,,2786.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1970,5890365,3666207,0.284384668,,3582.659,0.03984618,4.77498E+12,1.8805E+13,1302429.497,0.253920105,5129288.59,554596.9513,747832.5461,0.14186294,370390.98,109,262,2.9731E-05,0.415261534,7.15958E-05,7.36456E-06,2.23664E-05,0.25732134,8.45504E-06,54237054688,2.95518E+11,14793.78,0.18353,80605.81,5401.28,9392.5,0.09149,4207.12
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1971,6040777,3742484,0.284384668,3850453516,3410.31,0.039190754,5.06148E+12,2.00353E+13,1352437.285,0.252627864,5353476.319,575395.3328,777041.9526,0.141593618,384612.4282,113,274,3.01938E-05,0.412681511,7.3165E-05,7.48166E-06,2.27122E-05,0.256130462,8.58667E-06,57491277344,3.14195E+11,15361.8,0.18298,83953.64,5603.83,9757.96,0.09175,4368.66
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1972,6248552,3853271,0.284384668,4145345012,4506.743,0.038805361,5.0716E+12,2.12362E+13,1316179.933,0.238818974,5511203.361,561955.6228,754224.3099,0.132097159,374301.393,111,278,2.88067E-05,0.399873119,7.20396E-05,7.00703E-06,2.17997E-05,0.247349974,8.19218E-06,57606261719,3.32436E+11,14949.96,0.17329,86273.66,5472.94,9477.02,0.0852,4251.54
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1973,6496962,3987807,0.284384668,4130483922,4880.777,0.038208454,5.4824E+12,2.2563E+13,1374790.131,0.242982005,5657991.553,587613.2986,787176.8322,0.135673194,390969.2347,123,304,3.0844E-05,0.40514007,7.61317E-05,7.52293E-06,2.33211E-05,0.251715992,8.77157E-06,62272367188,3.52648E+11,15615.69,0.17659,88431.55,5722.83,9892.87,0.08816,4440.86
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1974,6761380,4130696,0.284384668,4219697347,4873.443,0.037687566,5.65235E+12,2.39131E+13,1368377.487,0.236370246,5789127.488,584447.1312,783930.3553,0.131462606,389145.577,143,366,3.46189E-05,0.390813329,8.85816E-05,8.47315E-06,2.61457E-05,0.241984444,9.84507E-06,64202808594,3.73268E+11,15542.85,0.172,90364.35,5691.99,9850.86,0.0854,4420.15
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1975,7024000,4270974,0.284384668,4120917520,4415.068,0.03748198,5.36973E+12,2.50869E+13,1257262.225,0.214045774,5873800.734,530748.4351,726513.7898,0.115692458,357546.1002,106,300,2.48187E-05,0.352878912,7.0332E-05,6.0876E-06,1.87311E-05,0.21504358,7.05806E-06,60992671875,3.91162E+11,14280.74,0.15593,91586.1,5169.01,9111.73,0.0741,4061.22
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1976,7279509,4405441,0.284384668,4072486307,3285.632,0.037409775,5.09051E+12,2.61185E+13,1155504.819,0.194900362,5928695.104,489491.9524,666012.867,0.102063912,328607.8543,117,355,2.65581E-05,0.32968246,8.05565E-05,6.35578E-06,2.02023E-05,0.198516049,7.55271E-06,57821050781,4.06898E+11,13124.92,0.1421,92362.69,4767.21,8357.71,0.06428,3732.53
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1977,7533735,4537667,0.284384668,4015057897,3534.988,0.037124839,5.13123E+12,2.71837E+13,1130808.326,0.188761676,5990666.908,491341.2026,639467.1236,0.097955911,321584.5503,130,410,2.86491E-05,0.316960862,9.03868E-05,7.05208E-06,2.1597E-05,0.189697214,8.14736E-06,58283617188,4.23176E+11,12844.4,0.13773,93258.57,4785.22,8059.18,0.06144,3652.75
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1978,7790707,4670081,0.284384668,4416920015,5412.492,0.036752816,4.85928E+12,2.80941E+13,1040512.262,0.172964597,6015752.816,447133.4479,593378.8139,0.087023302,295905.734,145,496,3.10487E-05,0.292045415,0.000106315,7.70865E-06,2.33401E-05,0.172239361,8.82978E-06,55194585938,4.37048E+11,11818.76,0.12629,93584.59,4354.68,7464.09,0.05362,3361.08
Angola,AGO,Kwanza,Africa,Sub-Saharan Africa,1979,8058067,4807217,0.284384668,4478208992,5504.167,0.036251272,4.87385E+12,2.89687E+13,1013862.065,0.168245425,6026089.956,431454.7485,582407.3161,0.084147733,288326.8265,161,576,3.34913E-05,0.279427367,0.000119857,8.1128E-06,2.53785E-05,0.163711236,9.52442E-06,55360167969,4.50429E+11,11516.05,0.12291,93698.6,4201.98,7314.07,0.0517,3274.99
