STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1974,,34.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1975,,34.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1976,,33.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1977,,33.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1978,,32.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1979,,31.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1980,,31.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1981,,30.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1982,,30.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1983,,29.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1984,,29.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1985,,28.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1986,,28.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1987,,27.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1988,,26.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1989,,26,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1990,,25.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1991,,24.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1992,,24.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1993,,24.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1994,,24.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1995,,23.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1996,,23.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1997,,22.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1998,,22.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1999,,22.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,21.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,20.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,20.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,19.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,19.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,18.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2006,,18.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2007,,18.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2008,,18.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,18.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2010,,18.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,19,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,17.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2013,,17.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2014,,17.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,17.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2016,,17.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2017,,17.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2018,,16.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2019,,16.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1960,,79,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1965,,80,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1970,,80,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1975,,81,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1980,,82,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1985,,83,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1990,,82.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1993,,83,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1997,,84.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1998,,84.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1999,,85.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,85.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,85.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,84.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,85.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,85.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,85,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2006,,85,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2007,,82.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2008,,82.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,83,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,83.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,83.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,DNK,Denmark,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2018,,82,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1960,,72.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1965,,70,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1970,,78,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1975,,85,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1978,,82,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1982,,82.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1985,,75,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1990,,58,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1993,,52.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1994,,40,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1995,,36.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1996,,36,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1997,,37,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1998,,35.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1999,,36.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,36.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,35.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,35.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,35.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,34.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,35,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2006,,33.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2007,,34.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2008,,33.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,32.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2010,,30.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,31.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,29.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2013,,29.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,GBR,United Kingdom,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2014,,27.5,,A,Normal value,0,Units,1,One
