CIC,Industry,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
441,Telephone communications ,1840.00,1469.65,361.37,391.99,0.25,0.27
442,Telegraph and miscellaneous communications services ,37.00,27.63,0.67,0.67,0.02,0.02
,UTILITIES AND SANITARY SERVICES,2010.00,1435.38,426.30,446.15,0.30,0.31
450,Electric light and power ,853.00,584.96,184.72,193.91,0.32,0.33
451,Gas and steam supply systems ,201.00,138.03,39.62,40.72,0.29,0.29
452,"Electric and gas, and other combinations ",182.00,150.18,51.22,52.62,0.34,0.35
470,Water supply and irrigation ,328.00,240.23,57.03,59.14,0.24,0.25
471,Sanitary services ,434.00,311.76,92.81,98.85,0.30,0.32
472,Not specified utilities,12.00,10.22,0.91,0.91,0.09,0.09
,WHOLESALE TRADE,6297.00,4779.55,245.54,269.59,0.05,0.06
500,Motor vehicles and equipment ,312.00,242.79,11.87,11.87,0.05,0.05
501,Furniture and home furnishings ,99.00,81.99,2.91,2.91,0.04,0.04
502,Lumber and construction materials ,268.00,212.37,10.98,10.98,0.05,0.05
510,Professional and commercial equipment and supplies ,624.00,505.19,10.46,12.19,0.02,0.02
511,"Metals and minerals, except petroleum ",125.00,95.09,11.81,11.81,0.12,0.12
512,Electrical goods ,447.00,362.84,1.13,1.13,0.00,0.00
521,"Hardware, plumbing and heating supplies ",337.00,250.61,6.67,8.79,0.03,0.04
530,"Machinery, equipment, and supplies ",913.00,647.38,13.58,16.23,0.02,0.03
531,Scrap and waste materials ,191.00,145.94,17.08,19.18,0.12,0.13
532,"Miscellaneous wholesale, durable goods ",176.00,131.64,1.58,1.58,0.01,0.01
540,Paper and paper products ,160.00,124.67,5.94,6.26,0.05,0.05
541,"Drugs, chemicals and allied products ",312.00,235.87,3.96,7.14,0.02,0.03
542,"Apparel, fabrics, and notions ",157.00,123.12,4.11,5.43,0.03,0.04
550,Groceries and related products ,1129.00,867.47,106.45,114.45,0.12,0.13
551,Farm-product raw materials ,153.00,96.08,2.66,2.66,0.03,0.03
552,Petroleum products ,154.00,106.89,3.32,3.32,0.03,0.03
560,Alcoholic beverages ,149.00,110.27,10.67,10.67,0.10,0.10
561,Farm supplies ,183.00,119.60,1.70,1.70,0.01,0.01
562,"Miscellaneous wholesale, nondurable goods ",370.00,285.82,15.51,18.15,0.05,0.06
571,Not specified wholesale trade,38.00,33.94,3.17,3.17,0.09,0.09
,RETAIL TRADE,27042.00,20451.71,963.77,1063.86,0.05,0.05
580,Lumber and building material retailing ,841.00,662.32,15.48,20.11,0.02,0.03
581,Hardware stores ,283.00,202.97,2.26,2.26,0.01,0.01
582,Retail nurseries and garden stores ,164.00,119.42,2.12,2.12,0.02,0.02
590,Mobile home dealers ,55.00,36.59,0.00,0.00,0.00,0.00
591,Department stores ,2895.00,2223.79,90.07,102.97,0.04,0.05
592,Variety stores ,186.00,144.18,0.75,1.79,0.01,0.01
600,Miscellaneous general merchandise stores ,252.00,172.30,9.40,9.40,0.05,0.05
601,Grocery stores ,3878.00,2876.73,556.59,586.70,0.19,0.20
602,Dairy products stores ,32.00,27.85,3.34,3.56,0.12,0.13
610,Retail bakeries ,234.00,167.17,9.57,12.40,0.06,0.07
611,"Food stores, n.e.c. ",235.00,183.21,7.22,8.65,0.04,0.05
612,Motor vehicle dealers ,1531.00,1166.21,40.16,46.46,0.03,0.04
620,Auto and home supply stores ,565.00,423.23,10.55,13.88,0.02,0.03
621,Gasoline service stations ,463.00,336.92,4.79,5.41,0.01,0.02
622,Miscellaneous vehicle dealers ,166.00,117.06,0.00,0.00,0.00,0.00
623,"Apparel and accessory stores, except shoe ",959.00,715.44,7.31,8.90,0.01,0.01
630,Shoe stores ,161.00,129.37,0.42,0.42,0.00,0.00
631,Furniture and home furnishings stores ,695.00,531.07,9.18,10.11,0.02,0.02
632,Household appliance stores ,79.00,53.78,1.73,2.01,0.03,0.04
633,"Radio, TV, and computer stores ",577.00,455.51,5.61,7.36,0.01,0.02
640,Music stores ,160.00,132.52,0.79,0.79,0.01,0.01
641,Eating and drinking places ,8450.00,6433.19,92.39,110.05,0.01,0.02
642,Drug stores ,832.00,645.25,52.98,59.16,0.08,0.09
650,Liquor stores ,154.00,127.91,5.14,6.46,0.04,0.05
651,"Sporting goods, bicycles, and hobby stores ",456.00,346.04,2.33,4.17,0.01,0.01
652,Book and stationery stores ,410.00,303.12,6.17,6.86,0.02,0.02
660,Jewelry stores ,194.00,145.77,1.90,3.19,0.01,0.02
661,"Gift, novelty, and souvenir shops ",240.00,182.53,2.05,2.05,0.01,0.01
662,"Sewing, needlework and piece goods stores ",54.00,41.87,0.00,0.00,0.00,0.00
663,Catalog and mail order houses ,171.00,123.67,4.02,4.36,0.03,0.04
670,Vending machine operators ,69.00,53.21,4.45,4.45,0.08,0.08
671,Direct selling establishments ,159.00,106.98,1.05,1.05,0.01,0.01
672,Fuel dealers ,134.00,89.52,5.31,5.31,0.06,0.06
681,Retail florists ,219.00,153.86,1.68,1.68,0.01,0.01
682,Miscellaneous retail stores ,938.00,693.36,4.11,5.95,0.01,0.01
691,Not specified retail trade,151.00,127.78,2.86,3.82,0.02,0.03
,"FINANCE, INSURANCE, AND REAL ESTATE",10343.00,7686.44,173.54,212.22,0.02,0.03
700,Banking ,2644.00,1906.09,13.61,21.87,0.01,0.01
701,"Savings institutions, including credit unions ",407.00,274.08,4.32,7.63,0.02,0.03
702,"Credit agencies, n.e.c. ",998.00,754.44,3.45,6.71,0.00,0.01
710,"Security, commodity brokerage, and investment companies ",1185.00,910.67,11.70,13.89,0.01,0.02
711,Insurance ,2861.00,2130.29,48.65,59.83,0.02,0.03
712,"Real estate, including real estate-insurance offices ",2248.00,1710.88,91.81,102.28,0.05,0.06
,BUSINESS AND REPAIR SERVICES,9980.00,7934.15,236.93,298.80,0.03,0.04
721,Advertising ,298.00,233.30,2.77,5.04,0.01,0.02
722,Services to dwellings and other buildings ,870.00,649.51,56.65,63.68,0.09,0.10
731,Personnel supply services ,1284.00,1064.22,18.89,34.82,0.02,0.03
732,Computer and data processing services ,2687.00,2225.42,24.17,37.83,0.01,0.02
740,Detective and protective services ,703.00,547.52,32.63,38.97,0.06,0.07
741,"Business services, n.e.c. ",2017.00,1540.68,35.71,42.58,0.02,0.03
742,"Automotive rental and leasing, without drivers ",254.00,204.05,11.34,12.50,0.06,0.06
750,Automotive parking and carwashes ,232.00,189.88,10.84,12.12,0.06,0.06
751,Automotive repair and related services ,1080.00,847.39,18.70,22.73,0.02,0.03
752,Electrical repair shops ,108.00,81.48,4.14,4.14,0.05,0.05
760,Miscellaneous repair services ,447.00,350.71,21.10,24.40,0.06,0.07
,PERSONAL SERVICES,5212.00,3676.55,201.26,215.42,0.05,0.06
761,Private Households ,1149.00,869.63,6.40,7.78,0.01,0.01
762,Hotels and Motels ,2235.00,1414.76,159.34,165.68,0.11,0.12
770,"Lodging places, except hotels and motels ",158.00,111.04,1.31,1.31,0.01,0.01
771,"Laundry, cleaning, and garment services ",484.00,375.90,23.11,24.87,0.06,0.07
772,Beauty shops ,704.00,526.45,5.19,6.68,0.01,0.01
780,Barber shops ,59.00,48.99,2.69,2.69,0.05,0.05
781,Funeral service and crematories ,120.00,90.55,1.20,1.20,0.01,0.01
782,Shoe repair shops ,5.00,4.91,0.00,0.00,0.00,0.00
790,Dressmaking shops ,3.00,2.73,0.00,0.00,0.00,0.00
791,Miscellaneous personal services ,295.00,231.59,2.01,5.22,0.01,0.02
,ENTERTAINMENT AND RECREATION SERVICES,9851.00,7184.79,894.59,1024.41,0.12,0.14
800,Theaters and motion pictures ,631.00,477.76,90.56,97.22,0.19,0.20
801,Video tape rental ,128.00,103.27,0.00,0.00,0.00,0.00
802,Bowling centers ,65.00,49.81,0.00,0.00,0.00,0.00
810,Miscellaneous entertainment and recreation services ,2091.00,1550.44,114.61,132.02,0.07,0.09
,"MEDICAL SERVICES, EXCEPT HOSPITALS",8064.00,5962.81,428.72,490.52,0.07,0.08
812,Offices and clinics of physicians ,1942.00,1430.83,39.72,45.23,0.03,0.03
820,Offices and clinics of dentists ,726.00,535.23,6.13,8.00,0.01,0.01
821,Offices and clinics of chiropractors ,117.00,87.75,0.00,0.00,0.00,0.00
822,Offices and clinics of optometrists ,65.00,51.36,1.80,3.21,0.04,0.06
830,"Offices and clinics of health practitioners, n.e.c. ",67.00,49.32,1.69,1.69,0.03,0.03
831,HOSPITALS ,6936.00,5003.51,689.42,795.18,0.14,0.16
832,Nursing and personal care facilities ,2425.00,1741.39,176.34,195.06,0.10,0.11
840,"Health services, n.e.c. ",2722.00,2066.93,203.03,237.32,0.10,0.11
,OTHER PROFESSIONAL SERVICES,7156.00,5304.64,145.47,171.88,0.03,0.03
841,Legal services ,1459.00,1097.64,11.53,16.55,0.01,0.02
,EDUCATIONAL SERVICES,15129.00,10878.36,3748.21,4291.33,0.34,0.39
842,Elementary and secondary schools ,10394.00,7556.89,3314.31,3766.98,0.44,0.50
850,Colleges and universities ,4130.00,2885.12,391.26,477.17,0.14,0.17
851,Vocational schools ,121.00,90.50,6.73,9.46,0.07,0.10
852,Libraries ,260.00,184.86,27.18,28.69,0.15,0.16
860,"Educational services, n.e.c. ",224.00,160.99,8.74,9.03,0.05,0.06
,SOCIAL SERVICES,3984.00,2959.37,214.80,259.62,0.07,0.09
861,Job training and vocational rehabilitation services ,302.00,216.64,17.93,20.09,0.08,0.09
862,Child day care services ,1312.00,1014.33,24.24,36.55,0.02,0.04
863,Family child care homes ,32.00,23.68,0.00,0.00,0.00,0.00
870,"Residential care facilities, without nursing ",690.00,504.64,31.40,37.25,0.06,0.07
871,"Social services, n.e.c. ",1648.00,1200.09,141.23,165.72,0.12,0.14
872,"Museums, art galleries, and zoos ",173.00,117.16,13.94,14.07,0.12,0.12
873,Labor unions ,84.00,59.34,47.20,47.56,0.80,0.80
880,Religious organizations ,1296.00,958.07,6.69,9.10,0.01,0.01
881,"Membership organizations, n.e.c. ",538.00,358.06,7.43,7.81,0.02,0.02
882,"Engineering, architectural, and surveying services ",1114.00,853.72,20.13,27.50,0.02,0.03
890,"Accounting, auditing, and bookkeeping services ",722.00,552.10,3.64,5.45,0.01,0.01
891,"Research, development, and testing services ",782.00,567.95,27.47,29.78,0.05,0.05
892,Management and public relations services ,882.00,668.44,7.19,13.81,0.01,0.02
893,Miscellaneous professional and related services ,106.00,72.17,0.24,0.24,0.00,0.00
,PUBLIC ADMINISTRATION,8455.00,5978.13,1913.28,2135.33,0.32,0.36
900,Executive and legislative offices ,246.00,154.03,12.59,14.99,0.08,0.10
901,"General government, n.e.c. ",1024.00,700.89,173.30,197.02,0.25,0.28
910,"Justice, public order, and safety ",3351.00,2525.84,1124.87,1209.49,0.45,0.48
921,"Public finance, taxation, and monetary policy ",497.00,336.75,101.45,116.35,0.30,0.35
922,Administration of human resources programs ,1144.00,774.89,213.85,250.97,0.28,0.32
930,Administration of environmental quality and housing programs ,403.00,244.39,54.08,61.85,0.22,0.25
931,Administration of economic programs ,937.00,630.39,162.50,187.42,0.26,0.30
932,National security and international affairs ,853.00,610.94,70.65,97.24,0.12,0.16
