Date,Series ID,CWURS49ASA0,CWURS49ASA0
10/1/2006,"Oct
2006",203.50,1.80
11/1/2006,"Nov
2006",203.30,2.50
12/1/2006,"Dec
2006",202.90,3.30
1/1/2007,"Jan
2007",204.50,3.10
2/1/2007,"Feb
2007",206.63,3.40
3/1/2007,"Mar
2007",208.93,4.00
4/1/2007,"Apr
2007",210.20,3.60
5/1/2007,"May
2007",211.15,3.00
6/1/2007,"Jun
2007",209.61,2.70
7/1/2007,"Jul
2007",209.44,2.40
8/1/2007,"Aug
2007",209.24,2.10
9/1/2007,"Sep
2007",209.85,2.20
10/1/2007,"Oct
2007",211.26,3.80
11/1/2007,"Nov
2007",212.84,4.70
12/1/2007,"Dec
2007",212.28,4.60
1/1/2008,"Jan
2008",213.83,4.60
2/1/2008,"Feb
2008",214.23,3.70
3/1/2008,"Mar
2008",216.49,3.60
4/1/2008,"Apr
2008",217.91,3.70
5/1/2008,"May
2008",219.70,4.10
6/1/2008,"Jun
2008",222.44,6.10
7/1/2008,"Jul
2008",223.25,6.60
8/1/2008,"Aug
2008",221.23,5.70
9/1/2008,"Sep
2008",220.29,5.00
10/1/2008,"Oct
2008",218.73,3.50
11/1/2008,"Nov
2008",214.08,0.60
12/1/2008,"Dec
2008",211.01,-0.60
1/1/2009,"Jan
2009",212.45,-0.60
2/1/2009,"Feb
2009",213.23,-0.50
3/1/2009,"Mar
2009",213.01,-1.60
4/1/2009,"Apr
2009",213.41,-2.10
5/1/2009,"May
2009",214.45,-2.40
6/1/2009,"Jun
2009",216.15,-2.80
7/1/2009,"Jul
2009",216.13,-3.20
8/1/2009,"Aug
2009",216.63,-2.10
9/1/2009,"Sep
2009",217.30,-1.40
10/1/2009,"Oct
2009",217.47,-0.60
11/1/2009,"Nov
2009",216.62,1.20
12/1/2009,"Dec
2009",216.23,2.50
1/1/2010,"Jan
2010",217.29,2.30
2/1/2010,"Feb
2010",217.09,1.80
3/1/2010,"Mar
2010",218.16,2.40
4/1/2010,"Apr
2010",218.48,2.40
5/1/2010,"May
2010",218.79,2.00
6/1/2010,"Jun
2010",218.22,1.00
7/1/2010,"Jul
2010",218.37,1.00
8/1/2010,"Aug
2010",218.75,1.00
9/1/2010,"Sep
2010",218.43,0.50
10/1/2010,"Oct
2010",219.34,0.90
11/1/2010,"Nov
2010",218.69,1.00
12/1/2010,"Dec
2010",219.62,1.60
1/1/2011,"Jan
2011",221.54,2.00
2/1/2011,"Feb
2011",222.81,2.60
3/1/2011,"Mar
2011",225.77,3.50
4/1/2011,"Apr
2011",227.05,3.90
5/1/2011,"May
2011",226.84,3.70
6/1/2011,"Jun
2011",225.46,3.30
7/1/2011,"Jul
2011",224.28,2.70
8/1/2011,"Aug
2011",224.67,2.70
9/1/2011,"Sep
2011",226.10,3.50
10/1/2011,"Oct
2011",226.12,3.10
11/1/2011,"Nov
2011",225.79,3.20
12/1/2011,"Dec
2011",224.44,2.20
1/1/2012,"Jan
2012",226.25,2.10
2/1/2012,"Feb
2012",227.59,2.10
3/1/2012,"Mar
2012",230.28,2.00
4/1/2012,"Apr
2012",230.02,1.30
5/1/2012,"May
2012",230.18,1.50
6/1/2012,"Jun
2012",228.92,1.50
7/1/2012,"Jul
2012",228.45,1.90
8/1/2012,"Aug
2012",230.23,2.50
9/1/2012,"Sep
2012",231.09,2.20
10/1/2012,"Oct
2012",233.43,3.20
11/1/2012,"Nov
2012",230.43,2.10
12/1/2012,"Dec
2012",228.94,2.00
1/1/2013,"Jan
2013",230.65,1.90
2/1/2013,"Feb
2013",232.98,2.40
3/1/2013,"Mar
2013",233.20,1.30
4/1/2013,"Apr
2013",232.03,0.90
5/1/2013,"May
2013",232.39,1.00
6/1/2013,"Jun
2013",232.38,1.50
7/1/2013,"Jul
2013",232.19,1.60
8/1/2013,"Aug
2013",232.25,0.90
9/1/2013,"Sep
2013",232.82,0.70
10/1/2013,"Oct
2013",232.74,-0.30
11/1/2013,"Nov
2013",231.60,0.50
12/1/2013,"Dec
2013",231.59,1.20
1/1/2014,"Jan
2014",232.58,0.80
2/1/2014,"Feb
2014",233.89,0.40
3/1/2014,"Mar
2014",235.50,1.00
4/1/2014,"Apr
2014",235.72,1.60
5/1/2014,"May
2014",236.65,1.80
6/1/2014,"Jun
2014",236.88,1.90
7/1/2014,"Jul
2014",236.96,2.10
8/1/2014,"Aug
2014",236.50,1.80
9/1/2014,"Sep
2014",236.45,1.60
10/1/2014,"Oct
2014",235.92,1.40
11/1/2014,"Nov
2014",233.90,1.00
12/1/2014,"Dec
2014",232.33,0.30
1/1/2015,"Jan
2015",231.06,-0.70
2/1/2015,"Feb
2015",232.98,-0.40
3/1/2015,"Mar
2015",235.99,0.20
4/1/2015,"Apr
2015",235.70,0.00
5/1/2015,"May
2015",238.82,0.90
6/1/2015,"Jun
2015",237.79,0.40
7/1/2015,"Jul
2015",239.89,1.20
8/1/2015,"Aug
2015",238.76,1.00
9/1/2015,"Sep
2015",237.32,0.40
10/1/2015,"Oct
2015",237.47,0.70
11/1/2015,"Nov
2015",237.19,1.40
12/1/2015,"Dec
2015",236.79,1.90
1/1/2016,"Jan
2016",238.61,3.30
2/1/2016,"Feb
2016",238.26,2.30
3/1/2016,"Mar
2016",239.15,1.30
4/1/2016,"Apr
2016",239.54,1.60
5/1/2016,"May
2016",240.32,0.60
6/1/2016,"Jun
2016",240.52,1.10
7/1/2016,"Jul
2016",240.58,0.30
8/1/2016,"Aug
2016",240.27,0.60
9/1/2016,"Sep
2016",240.85,1.50
10/1/2016,"Oct
2016",241.93,1.90
11/1/2016,"Nov
2016",240.81,1.50
12/1/2016,"Dec
2016",240.85,1.70
1/1/2017,"Jan
2017",242.74,1.70
2/1/2017,"Feb
2017",244.25,2.50
3/1/2017,"Mar
2017",244.93,2.40
4/1/2017,"Apr
2017",245.42,2.50
5/1/2017,"May
2017",246.15,2.40
6/1/2017,"Jun
2017",245.90,2.20
7/1/2017,"Jul
2017",246.68,2.50
8/1/2017,"Aug
2017",247.26,2.90
9/1/2017,"Sep
2017",248.55,3.20
10/1/2017,"Oct
2017",249.23,3.00
11/1/2017,"Nov
2017",249.68,3.70
12/1/2017,"Dec
2017",249.85,3.70
1/1/2018,"Jan
2018",251.79,3.70
2/1/2018,"Feb
2018",253.24,3.70
3/1/2018,"Mar
2018",254.45,3.90
4/1/2018,"Apr
2018",255.38,4.10
5/1/2018,"May
2018",256.65,4.30
6/1/2018,"Jun
2018",256.21,4.20
7/1/2018,"Jul
2018",256.63,4.00
8/1/2018,"Aug
2018",257.32,4.10
9/1/2018,"Sep
2018",258.25,3.90
10/1/2018,"Oct
2018",259.90,4.30
11/1/2018,"Nov
2018",259.06,3.80
12/1/2018,"Dec
2018",258.10,3.30
1/1/2019,"Jan
2019",259.18,2.90
2/1/2019,"Feb
2019",259.73,2.60
3/1/2019,"Mar
2019",261.28,2.70
4/1/2019,"Apr
2019",264.47,3.60
5/1/2019,"May
2019",265.28,3.40
6/1/2019,"Jun
2019",264.64,3.30
7/1/2019,"Jul
2019",265.01,3.30
8/1/2019,"Aug
2019",264.69,2.90
9/1/2019,"Sep
2019",266.52,3.20
10/1/2019,"Oct
2019",269.31,3.60
11/1/2019,"Nov
2019",268.04,3.50
12/1/2019,"Dec
2019",266.27,3.20
1/1/2020,"Jan
2020",268.13,3.50
2/1/2020,"Feb
2020",268.94,3.50
3/1/2020,"Mar
2020",266.96,2.20
4/1/2020,"Apr
2020",265.93,0.60
5/1/2020,"May
2020",267.01,0.60
6/1/2020,"Jun
2020",268.12,1.30
7/1/2020,"Jul
2020",270.01,1.90
8/1/2020,"Aug
2020",270.56,2.20
9/1/2020,"Sep
2020",270.26,1.40
10/1/2020,"Oct
2020",270.86,0.60
11/1/2020,"Nov
2020",270.70,1.00
12/1/2020,"Dec
2020",270.17,1.50
1/1/2021,"Jan
2021",271.13,1.10
2/1/2021,"Feb
2021",272.82,1.40
3/1/2021,"Mar
2021",274.10,2.70
4/1/2021,"Apr
2021",277.13,4.20
5/1/2021,"May
2021",279.14,4.50
6/1/2021,"Jun
2021",280.69,4.70
7/1/2021,"Jul
2021",282.27,4.50
8/1/2021,"Aug
2021",282.69,4.50
9/1/2021,"Sep
2021",283.19,4.80
10/1/2021,"Oct
2021",285.97,5.60
11/1/2021,"Nov
2021",287.94,6.40
12/1/2021,"Dec
2021",288.91,6.90
1/1/2022,"Jan
2022",291.85,7.60
2/1/2022,"Feb
2022",292.69,7.30
3/1/2022,"Mar
2022",297.87,8.70
4/1/2022,"Apr
2022",299.44,8.10
5/1/2022,"May
2022",301.96,8.20
6/1/2022,"Jun
2022",305.58,8.90
7/1/2022,"Jul
2022",304.44,7.90
8/1/2022,"Aug
2022",304.14,7.60
9/1/2022,"Sep
2022",305.41,7.80
10/1/2022,"Oct
2022",307.72,7.60
11/1/2022,"Nov
2022",304.90,5.90
12/1/2022,"Dec
2022",302.27,4.60
1/1/2023,"Jan
2023",307.69,5.40
2/1/2023,"Feb
2023",306.44,4.70
3/1/2023,"Mar
2023",306.33,2.80
4/1/2023,"Apr
2023",308.47,3.00
5/1/2023,"May
2023",309.10,2.40
6/1/2023,"Jun
2023",310.54,1.60
7/1/2023,"Jul
2023",310.60,2.00
8/1/2023,"Aug
2023",312.41,2.70
9/1/2023,"Sep
2023",313.45,2.60
10/1/2023,"Oct
2023",313.12,1.80
11/1/2023,"Nov
2023",311.68,2.20
12/1/2023,"Dec
2023",311.43,3.00
1/1/2024,"Jan
2024",313.74,2.00
2/1/2024,"Feb
2024",315.63,3.00
3/1/2024,"Mar
2024",318.28,3.90
4/1/2024,"Apr
2024",320.46,3.90
5/1/2024,"May
2024",320.58,3.70
6/1/2024,"Jun
2024",319.53,2.90
7/1/2024,"Jul
2024",320.18,3.10
8/1/2024,"Aug
2024",320.66,2.60
9/1/2024,"Sep
2024",321.49,2.60
10/1/2024,"Oct
2024",321.51,2.70
11/1/2024,"Nov
2024",321.21,3.10
12/1/2024,"Dec
2024",322.00,3.40
1/1/2025,"Jan
2025",324.87,3.50
2/1/2025,"Feb
2025",326.24,3.40
3/1/2025,"Mar
2025",328.25,3.10
4/1/2025,"Apr
2025",329.88,2.90
,,,
